,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
9396,0.507,2,0.15,1,0.533,1,5,1,0,0,0.041,0.0,0.551,0,0
9397,0.397,2,0.205,5,0.6,1,5,1,0,0,0.0,0.469,0.5,0,0
9398,0.137,1,0.011,1,0.533,0,7,3,0,0,0.0,0.0,0.806,0,0
9399,0.452,4,0.011,0,0.8,1,3,1,0,0,0.0,0.0,0.449,0,1
9400,0.288,1,0.128,7,0.2,1,7,1,0,0,0.0,0.0,0.561,0,0
9401,0.26,0,0.056,3,0.867,0,3,3,0,1,0.0,0.0,0.398,0,0
9402,0.11,2,0.321,1,0.533,2,4,0,0,0,0.0,0.0,0.398,4,0
9403,0.027,2,0.022,1,0.533,0,7,3,0,0,0.0,0.0,0.245,0,0
9404,0.589,4,0.058,5,0.6,1,4,1,2,0,0.0,0.0,0.602,11,0
9405,0.384,4,0.11,4,0.267,0,4,3,0,0,0.0,0.0,0.398,0,0
9406,0.055,2,0.072,5,0.6,0,9,3,0,0,0.0,0.368,0.153,0,0
9407,0.342,2,0.11,1,0.533,2,6,0,0,0,0.0,0.455,0.459,0,0
9408,0.288,2,0.13,1,0.533,1,10,1,0,0,0.0,0.0,0.5,0,0
9410,0.027,2,0.275,1,0.533,0,1,0,1,0,0.0,0.0,0.316,0,0
9411,0.082,2,0.169,5,0.6,0,0,3,0,0,0.0,0.0,0.398,0,0
9412,0.096,2,0.111,5,0.6,0,2,3,0,1,0.0,0.0,0.296,0,0
9413,0.178,2,0.164,6,0.733,2,5,0,0,0,0.0,0.0,0.52,0,0
9414,0.616,2,0.116,5,0.6,1,1,1,0,0,0.0,0.0,0.398,0,0
9415,0.123,1,0.207,10,0.933,0,3,3,0,0,0.0,0.0,0.194,0,0
9416,0.342,3,0.08,0,0.8,1,1,1,0,0,0.0,0.0,0.52,0,1
9417,0.219,2,0.131,1,0.533,1,10,1,0,0,0.0,0.0,0.398,0,0
9419,0.247,2,0.144,0,0.8,2,3,4,0,1,0.0,0.0,0.316,0,0
9420,0.219,2,0.158,1,0.533,2,5,0,0,0,0.0,0.0,0.398,0,0
9421,0.384,2,0.106,1,0.533,2,5,0,0,1,0.0,0.0,0.551,0,0
9422,0.616,2,0.134,0,0.8,1,0,2,0,1,0.0,0.0,0.296,0,1
9423,0.096,2,0.185,1,0.533,0,1,3,0,0,0.0,0.0,0.398,0,0
9424,0.452,4,0.096,5,0.6,2,0,0,1,1,0.0,0.0,0.398,0,0
9425,0.507,2,0.016,0,0.8,1,3,1,0,0,0.0,0.0,0.398,0,1
9426,0.562,2,0.274,7,0.2,2,8,3,0,0,0.0,0.0,0.398,0,0
9427,0.301,5,0.014,1,0.533,1,10,1,0,0,0.0,0.0,0.5,0,0
9428,0.205,2,0.02,1,0.533,2,10,4,0,0,0.0,0.0,0.398,0,0
9429,0.137,2,0.106,0,0.8,1,3,1,0,0,0.0,0.0,0.398,0,0
9430,0.137,2,0.094,1,0.533,1,6,1,0,0,0.039,0.0,0.347,0,0
9431,0.041,2,0.019,5,0.6,0,4,3,0,0,0.0,0.0,0.602,0,0
9432,0.644,2,0.036,7,0.2,1,10,1,0,0,0.0,0.0,0.398,0,0
9433,0.521,5,0.166,3,0.867,6,5,0,0,1,0.0,0.0,0.398,0,0
9434,0.397,2,0.105,1,0.533,2,9,0,0,1,0.0,0.0,0.429,0,0
9435,0.384,2,0.113,5,0.6,1,6,1,0,0,0.0,0.0,0.551,0,0
9436,0.123,2,0.03,1,0.533,0,6,0,0,0,0.0,0.0,0.398,0,0
9437,0.26,2,0.196,1,0.533,1,10,1,0,0,0.0,0.0,0.398,0,0
9438,0.11,2,0.122,0,0.8,0,5,0,0,1,0.0,0.431,0.398,0,0
9439,0.562,2,0.142,12,0.333,1,6,1,0,0,0.0,0.433,0.398,0,1
9440,0.301,5,0.119,0,0.8,1,1,1,0,0,0.0,0.0,0.449,0,0
9441,0.411,2,0.139,1,0.533,6,13,0,2,1,0.0,0.0,0.449,15,0
9442,0.247,2,0.2,3,0.867,1,8,1,0,0,0.0,0.0,0.48,0,0
9443,0.288,2,0.106,1,0.533,1,1,1,0,0,0.0,0.0,0.398,0,0
9444,0.452,2,0.073,2,0.4,1,10,1,0,0,0.0,0.0,0.398,0,0
9445,0.26,2,0.242,1,0.533,2,0,4,0,1,0.0,0.0,0.378,0,0
9446,0.151,2,0.261,11,0.133,0,10,5,0,0,0.0,0.0,0.398,4,0
9447,0.37,1,0.132,1,0.533,1,8,2,0,1,0.0,0.0,0.449,0,0
9448,0.315,2,0.22,1,0.533,2,11,4,0,1,0.0,0.0,0.398,0,0
9449,0.521,2,0.108,5,0.6,1,10,1,0,0,0.0,0.0,0.398,0,1
9450,0.164,1,0.013,1,0.533,0,7,0,0,0,0.0,0.0,0.449,0,0
9451,0.219,2,0.123,1,0.533,1,10,1,0,0,0.0,0.0,0.449,0,0
9453,0.205,2,0.109,0,0.8,1,1,1,0,0,0.077,0.0,0.398,0,1
9454,0.384,4,0.095,3,0.867,1,3,1,1,0,0.0,0.0,0.092,0,1
9455,0.082,2,0.177,1,0.533,0,2,3,0,0,0.0,0.0,0.245,0,0
9456,0.192,2,0.235,9,0.667,0,11,3,1,0,0.0,0.0,0.398,0,0
9457,0.068,2,0.094,5,0.6,0,4,0,2,1,0.0,0.0,0.398,11,0
9458,0.575,2,0.118,1,0.533,2,2,0,1,0,0.0,0.0,0.398,0,0
9459,0.205,2,0.057,5,0.6,0,10,0,0,0,0.0,0.0,0.378,0,0
9460,0.438,0,0.232,5,0.6,0,0,0,0,1,0.0,0.0,0.398,0,0
9461,0.068,2,0.16,5,0.6,0,0,3,0,0,0.0,0.0,0.296,0,0
9462,0.123,2,0.12,5,0.6,0,0,0,0,0,0.0,0.0,0.296,0,0
9463,0.082,0,0.194,5,0.6,1,0,1,2,0,0.0,0.0,0.398,36,0
9464,0.521,1,0.13,5,0.6,1,5,2,0,1,0.0,0.0,0.5,0,0
9465,0.411,2,0.197,1,0.533,1,1,1,0,0,0.0,0.0,0.49,0,1
9466,0.37,2,0.156,1,0.533,1,6,1,0,0,0.0,0.0,0.398,0,0
9467,0.137,2,0.016,5,0.6,0,4,0,0,0,0.0,0.0,0.235,0,0
9468,0.315,0,0.126,3,0.867,1,3,2,0,1,0.15,0.0,0.367,0,1
9469,0.205,1,0.029,0,0.8,1,3,2,0,1,0.0,0.0,0.071,0,1
9470,0.041,2,0.165,5,0.6,0,8,5,2,0,0.0,0.0,0.398,36,0
9471,0.918,4,0.102,1,0.533,6,1,0,0,1,0.0,0.0,0.327,0,0
9472,0.315,2,0.172,5,0.6,2,10,5,0,0,0.0,0.0,0.5,0,0
9473,0.274,2,0.1,0,0.8,0,5,0,0,1,0.0,0.0,0.398,0,0
9474,0.37,2,0.126,5,0.6,2,6,3,0,0,0.0,0.317,0.398,0,0
9475,0.411,2,0.104,5,0.6,2,1,4,0,1,0.0,0.0,0.398,9,0
9476,0.616,1,0.129,5,0.6,1,5,1,0,0,0.0,0.0,0.245,0,0
9478,0.411,2,0.307,1,0.533,0,6,0,0,0,0.0,0.0,0.449,0,0
9479,0.37,4,0.109,1,0.533,2,10,4,1,0,0.0,0.0,0.398,0,0
9480,0.123,4,0.104,0,0.8,1,0,1,0,0,0.0,0.0,0.408,0,0
9481,0.26,2,0.141,5,0.6,1,10,1,0,0,0.0,0.0,0.398,0,0
9482,0.479,2,0.159,2,0.4,1,4,1,0,0,0.0,0.0,0.398,0,0
9483,0.219,2,0.062,5,0.6,2,0,4,0,1,0.0,0.0,0.398,0,0
9485,0.219,2,0.162,1,0.533,1,6,1,1,0,0.0,0.0,0.398,0,0
9486,0.11,2,0.053,0,0.8,1,1,1,0,0,0.0,0.0,0.194,0,0
9487,0.616,2,0.051,0,0.8,1,8,1,0,0,0.0,0.0,0.398,0,0
9488,0.288,2,0.079,5,0.6,1,10,1,0,0,0.0,0.0,0.398,0,0
9489,0.397,2,0.088,1,0.533,3,7,0,0,0,0.0,0.0,0.653,0,0
9491,0.397,2,0.078,0,0.8,1,1,1,0,0,0.0,0.0,0.439,0,1
9492,0.288,2,0.069,1,0.533,2,4,4,0,1,0.0,0.0,0.704,0,0
9493,0.479,2,0.12,5,0.6,1,0,1,0,0,0.0,0.0,0.398,0,1
9494,0.63,1,0.113,7,0.2,1,1,1,0,0,0.0,0.0,0.143,0,0
9495,0.438,2,0.139,5,0.6,1,8,1,0,0,0.0,0.0,0.429,0,0
9496,0.0,4,0.091,2,0.4,0,0,3,0,1,0.0,0.0,0.112,0,0
9497,0.219,2,0.116,1,0.533,0,4,0,0,1,0.0,0.0,0.347,0,0
9498,0.726,1,0.181,1,0.533,6,4,5,0,1,0.023,0.0,0.194,0,0
9499,0.027,2,0.139,5,0.6,0,4,3,0,1,0.0,0.0,0.143,0,0
9501,0.603,2,0.029,5,0.6,1,5,1,0,0,0.0,0.0,0.398,0,0
9502,0.219,2,0.164,0,0.8,1,3,1,0,0,0.0,0.0,0.245,0,1
9504,0.164,2,0.228,12,0.333,4,7,4,0,1,0.0,0.0,0.398,24,0
9505,0.315,4,0.007,5,0.6,2,6,4,0,0,0.068,0.0,0.398,0,0
9506,0.356,0,0.019,1,0.533,1,6,1,0,0,0.0,0.0,0.378,0,1
9507,0.096,2,0.068,1,0.533,0,5,0,0,0,0.0,0.0,0.398,0,0
9508,0.164,2,0.08,5,0.6,1,10,1,0,0,0.0,0.0,0.602,0,0
9509,0.603,1,0.173,1,0.533,1,4,2,1,1,0.0,0.0,0.163,0,0
9510,0.425,2,0.128,2,0.4,2,4,0,0,1,0.0,0.0,0.337,0,0
9511,0.027,2,0.181,5,0.6,0,2,3,0,0,0.0,0.0,0.194,0,0
9512,0.178,2,0.038,5,0.6,0,8,0,0,1,0.0,0.0,0.398,0,0
9513,0.096,2,0.152,5,0.6,0,4,0,0,0,0.0,0.0,0.296,0,0
9514,0.301,4,0.142,3,0.867,0,3,4,0,1,0.0,0.0,0.429,0,0
9515,0.397,5,0.066,5,0.6,2,1,4,0,1,0.02,0.0,0.602,0,0
9516,0.315,2,0.056,1,0.533,1,5,1,0,0,0.0,0.0,0.724,0,1
9517,0.137,4,0.127,0,0.8,0,3,3,0,1,0.0,0.0,0.398,0,0
9518,0.11,2,0.122,3,0.867,0,3,3,0,1,0.0,0.0,0.398,0,0
9519,0.192,2,0.3,2,0.4,0,10,0,0,0,0.0,0.459,0.398,0,0
9520,0.562,2,0.141,0,0.8,2,6,0,0,0,0.0,0.0,0.449,0,0
9521,0.219,2,0.06,1,0.533,1,1,2,0,1,0.0,0.0,0.418,8,1
9522,0.315,2,0.086,1,0.533,6,4,4,0,1,0.0,0.0,0.245,0,0
9523,0.315,5,0.035,3,0.867,1,5,1,0,0,0.0,0.0,0.704,0,1
9524,0.192,2,0.264,1,0.533,1,10,1,0,0,0.0,0.0,0.398,0,0
9525,0.219,2,0.088,1,0.533,4,4,4,2,1,0.0,0.0,0.48,26,0
9526,0.438,2,0.117,6,0.733,1,5,1,0,0,0.0,0.0,0.449,0,0
9527,0.096,2,0.067,9,0.667,0,9,3,0,0,0.0,0.0,0.398,0,0
9528,0.397,2,0.079,1,0.533,0,10,4,0,0,0.0,0.0,0.398,0,0
9529,0.562,4,0.091,3,0.867,1,3,1,0,0,0.0,0.0,0.398,0,1
9530,0.041,2,0.131,5,0.6,0,5,3,0,1,0.0,0.0,0.194,0,0
9532,0.356,2,0.095,5,0.6,1,0,2,0,1,0.0,0.0,0.398,0,0
9533,0.425,1,0.105,3,0.867,1,5,1,2,0,0.0,0.0,0.5,3,0
9534,0.329,2,0.124,5,0.6,1,6,1,0,0,0.0,0.0,0.541,0,0
9535,0.137,0,0.09,5,0.6,4,4,0,0,1,0.0,0.0,0.296,0,0
9538,0.479,4,0.158,1,0.533,1,10,1,0,0,0.0,0.0,0.398,0,0
9539,0.479,4,0.122,5,0.6,2,1,0,0,1,0.0,0.0,0.378,0,0
9540,0.027,2,0.157,1,0.533,0,4,3,1,0,0.0,0.0,0.296,0,0
9541,0.301,4,0.058,5,0.6,2,3,3,0,1,0.0,0.0,0.449,0,0
9542,0.411,2,0.09,5,0.6,2,4,4,0,1,0.0,0.0,0.398,0,0
9543,0.137,2,0.157,1,0.533,2,10,5,4,0,0.0,0.0,0.398,0,0
9544,0.425,2,0.122,5,0.6,2,10,0,0,0,0.0,0.0,0.398,0,0
9545,0.452,2,0.133,1,0.533,4,4,4,0,1,0.0,0.0,0.347,0,0
9546,0.589,2,0.008,5,0.6,1,6,1,0,0,0.0,0.0,0.602,0,0
9547,0.151,2,0.267,6,0.733,1,9,1,0,0,0.0,0.0,0.449,0,1
9548,0.411,3,0.027,1,0.533,2,4,4,1,1,0.0,0.0,0.398,0,0
9550,0.315,1,0.101,1,0.533,1,10,1,2,0,0.0,0.0,0.663,27,0
9551,0.274,2,0.179,1,0.533,0,2,4,0,1,0.039,0.0,0.398,35,0
9552,0.329,0,0.065,3,0.867,0,3,0,0,0,0.0,0.0,0.398,0,0
9553,0.288,2,0.074,1,0.533,1,0,1,2,0,0.0,0.0,0.48,33,0
9554,0.397,3,0.072,9,0.667,4,9,0,4,1,0.0,0.0,0.296,0,0
9555,0.055,1,0.269,5,0.6,0,0,3,0,0,0.0,0.0,0.296,0,0
9556,0.37,2,0.142,3,0.867,4,5,4,0,1,0.0,0.0,0.48,0,0
9558,0.411,1,0.072,5,0.6,1,0,2,0,1,0.0,0.0,0.347,0,1
9560,0.342,4,0.229,5,0.6,2,10,0,0,0,0.0,0.0,0.398,0,0
9561,0.534,2,0.109,0,0.8,0,1,0,0,1,0.0,0.0,0.449,0,1
9562,0.205,2,0.211,0,0.8,0,3,3,0,0,0.0,0.0,0.398,0,0
9563,0.096,2,0.077,0,0.8,1,4,1,0,0,0.0,0.0,0.327,0,0
9564,0.123,2,0.178,5,0.6,1,5,1,0,0,0.0,0.0,0.398,0,0
9565,0.26,1,0.14,0,0.8,0,5,0,1,1,0.022,0.0,0.5,0,0
9566,0.438,2,0.127,2,0.4,0,4,0,0,0,0.0,0.0,0.602,0,0
9567,0.658,2,0.096,1,0.533,1,1,1,0,0,0.0,0.0,0.398,0,1
9568,0.767,0,0.041,7,0.2,2,4,0,2,1,0.0,0.0,0.398,0,0
9569,0.233,2,0.144,2,0.4,1,2,1,0,0,0.0,0.0,0.398,0,0
9570,0.068,2,0.135,0,0.8,0,0,3,0,1,0.0,0.0,0.398,0,0
9571,0.438,4,0.077,5,0.6,0,4,4,0,1,0.0,0.0,0.296,0,0
9572,0.11,2,0.169,2,0.4,0,4,4,1,1,0.0,0.0,0.316,0,0
9573,0.301,2,0.118,4,0.267,1,6,1,0,0,0.0,0.0,0.245,0,0
9574,0.027,2,0.068,2,0.4,0,10,0,0,0,0.0,0.0,0.561,0,0
9575,0.096,2,0.145,12,0.333,1,8,2,0,1,0.0,0.0,0.398,0,0
9576,0.233,2,0.084,1,0.533,2,0,4,0,1,0.0,0.0,0.347,0,0
9578,0.055,2,0.135,1,0.533,0,8,5,0,0,0.0,0.0,0.398,0,0
9579,0.356,2,0.125,3,0.867,2,4,4,0,1,0.0,0.0,0.398,0,0
9581,0.301,2,0.087,5,0.6,2,0,4,1,1,0.0,0.0,0.398,0,0
9583,0.219,1,0.075,6,0.733,0,4,0,1,0,0.0,0.0,0.316,0,0
9584,0.027,2,0.128,5,0.6,0,4,3,0,1,0.0,0.0,0.255,0,0
9585,0.0,2,0.097,12,0.333,0,5,4,0,1,0.0,0.0,0.112,0,0
9586,0.356,1,0.023,5,0.6,1,7,1,0,0,0.0,0.0,0.5,0,0
9587,0.616,2,0.093,1,0.533,6,0,0,0,1,0.0,0.0,0.418,0,0
9588,0.493,4,0.15,3,0.867,2,3,0,1,1,0.0,0.0,0.398,0,1
9589,0.384,0,0.015,3,0.867,1,3,1,0,0,0.0,0.0,0.602,0,1
9590,0.411,2,0.099,1,0.533,2,0,0,1,1,0.0,0.0,0.398,0,0
9591,0.178,2,0.12,5,0.6,0,4,3,1,1,0.0,0.0,0.398,0,0
9592,0.493,2,0.136,1,0.533,4,5,0,0,1,0.0,0.0,0.327,0,0
9593,0.096,2,0.166,1,0.533,4,8,3,1,1,0.0,0.0,0.398,0,0
9594,0.329,4,0.323,5,0.6,1,2,1,0,0,0.0,0.0,0.398,0,0
9595,0.562,4,0.153,11,0.133,2,4,5,1,1,0.0,0.0,0.398,19,0
9596,0.137,3,0.062,1,0.533,2,0,0,0,0,0.049,0.0,0.5,0,0
9597,0.63,0,0.065,1,0.533,2,0,0,0,1,0.0,0.0,0.378,0,0
9598,0.452,2,0.108,5,0.6,2,4,3,0,0,0.0,0.0,0.276,0,0
9599,0.356,4,0.133,3,0.867,0,9,0,1,1,0.086,0.0,0.469,0,1
9600,0.164,5,0.05,5,0.6,0,1,0,0,0,0.0,0.0,0.602,0,0
9601,0.329,2,0.118,5,0.6,1,5,1,0,0,0.039,0.0,0.398,0,0
9602,0.521,2,0.15,1,0.533,1,4,1,0,0,0.0,0.0,0.398,0,0
9603,0.26,2,0.176,1,0.533,0,6,0,0,0,0.0,0.0,0.449,0,0
9604,0.082,4,0.078,1,0.533,0,0,3,0,0,0.0,0.0,0.398,0,0
9605,0.068,2,0.059,0,0.8,0,10,0,0,0,0.136,0.0,0.551,0,1
9606,0.562,1,0.124,5,0.6,2,10,0,0,0,0.0,0.0,0.449,0,0
9607,0.11,2,0.162,2,0.4,0,0,3,1,1,0.0,0.0,0.398,0,0
9608,0.315,2,0.061,1,0.533,1,5,2,0,1,0.0,0.0,0.296,0,0
9609,0.288,2,0.006,9,0.667,0,3,0,0,1,0.0,0.0,0.388,0,0
9610,0.274,2,0.224,0,0.8,1,3,1,0,0,0.0,0.0,0.398,0,1
9611,0.027,2,0.149,5,0.6,0,4,3,0,1,0.0,0.0,0.347,0,0
9612,0.521,2,0.109,12,0.333,0,4,0,0,0,0.0,0.0,0.286,0,0
9613,0.521,2,0.182,0,0.8,1,5,1,0,0,0.15,0.0,0.5,0,1
9614,0.151,2,0.177,0,0.8,0,0,0,0,0,0.0,0.0,0.449,0,0
9615,0.493,2,0.162,1,0.533,1,10,1,0,0,0.0,0.0,0.398,22,0
9617,0.589,2,0.078,5,0.6,2,3,4,0,0,0.033,0.0,0.418,0,0
9618,0.205,2,0.016,5,0.6,2,0,4,0,1,0.0,0.0,0.378,0,0
9619,0.233,2,0.109,1,0.533,1,5,1,0,0,0.0,0.0,0.5,0,0
9620,0.438,2,0.231,5,0.6,2,3,0,0,0,0.0,0.0,0.449,0,1
9621,0.055,2,0.144,5,0.6,0,4,5,0,1,0.0,0.0,0.296,0,0
9622,0.096,0,0.091,0,0.8,0,0,0,1,1,0.0,0.0,0.194,0,0
9623,0.493,2,0.15,9,0.667,2,0,0,1,1,0.022,0.0,0.398,0,0
9625,0.233,4,0.119,0,0.8,3,3,0,0,1,0.0,0.0,0.398,0,0
9627,0.329,2,0.179,11,0.133,1,7,2,0,1,0.0,0.0,0.398,4,0
9628,0.055,2,0.204,1,0.533,0,4,0,0,1,0.0,0.0,0.398,0,0
9629,0.356,2,0.141,3,0.867,1,1,1,0,0,0.0,0.0,0.347,0,1
9630,0.192,4,0.119,1,0.533,0,11,3,0,0,0.0,0.0,0.398,0,0
9631,0.288,2,0.015,1,0.533,1,2,1,0,0,0.0,0.469,0.398,0,0
9632,0.342,2,0.096,0,0.8,1,1,1,0,0,0.0,0.554,0.602,0,1
9633,0.616,2,0.1,0,0.8,0,7,0,0,0,0.0,0.0,0.296,0,0
9634,0.466,2,0.162,7,0.2,6,8,0,3,1,0.0,0.0,0.398,0,0
9635,0.178,2,0.111,1,0.533,0,5,4,1,1,0.0,0.0,0.245,0,0
9636,0.096,2,0.027,0,0.8,1,8,1,0,0,0.0,0.0,0.398,0,0
9637,0.26,2,0.068,1,0.533,2,10,0,0,0,0.0,0.0,0.398,0,0
9638,0.548,2,0.236,12,0.333,1,10,1,0,0,0.0,0.0,0.398,0,0
9639,0.397,2,0.215,0,0.8,1,1,1,0,0,0.0,0.0,0.551,0,1
9640,0.219,2,0.178,8,1.0,1,3,1,0,0,0.0,0.0,0.398,0,0
9641,0.342,2,0.073,5,0.6,0,5,0,0,0,0.0,0.0,0.449,0,0
9642,0.616,2,0.071,1,0.533,1,10,1,0,0,0.0,0.0,0.398,0,0
9643,0.644,1,0.188,5,0.6,1,5,1,0,0,0.0,0.0,0.194,0,0
9644,0.014,2,0.153,5,0.6,0,5,3,0,1,0.0,0.0,0.245,0,0
9645,0.356,2,0.169,11,0.133,3,7,4,0,0,0.0,0.0,0.347,4,0
9646,0.616,1,0.009,7,0.2,6,4,0,0,1,0.0,0.0,0.663,0,0
9647,0.164,2,0.1,6,0.733,1,3,1,0,0,0.0,0.0,0.5,0,0
9648,0.356,2,0.162,0,0.8,1,2,1,1,0,0.0,0.0,0.398,19,1
9649,0.301,2,0.02,1,0.533,1,1,1,0,0,0.073,0.0,0.398,0,1
9651,0.233,2,0.119,0,0.8,1,1,2,0,1,0.0,0.0,0.398,0,0
9652,0.37,2,0.072,6,0.733,1,1,1,0,0,0.044,0.0,0.449,0,1
9653,0.11,2,0.082,0,0.8,0,0,0,0,0,0.0,0.0,0.296,0,0
9654,0.411,4,0.103,5,0.6,2,6,4,0,0,0.0,0.0,0.398,0,0
9655,0.0,2,0.058,12,0.333,0,4,3,0,0,0.0,0.0,0.071,0,0
9656,0.329,4,0.041,0,0.8,2,3,4,0,0,0.0,0.0,0.653,0,0
9657,0.027,2,0.198,5,0.6,0,5,3,0,0,0.0,0.0,0.194,0,0
9658,0.548,2,0.073,15,0.067,1,4,1,4,0,0.0,0.0,0.398,21,0
9659,0.11,2,0.096,1,0.533,0,0,4,1,0,0.0,0.0,0.347,0,0
9660,0.274,4,0.239,5,0.6,1,0,1,0,0,0.0,0.0,0.398,8,1
9661,0.164,2,0.115,9,0.667,1,8,1,0,0,0.0,0.0,0.398,0,0
9662,0.205,2,0.025,5,0.6,0,5,3,0,0,0.0,0.0,0.347,0,0
9663,0.247,2,0.118,10,0.933,1,3,1,0,0,0.0,0.0,0.449,0,1
9664,0.479,2,0.099,14,0.467,0,8,0,0,0,0.0,0.0,0.398,0,0
9665,0.329,2,0.101,1,0.533,0,8,3,0,1,0.018,0.0,0.398,30,0
9666,0.164,2,0.078,1,0.533,3,8,0,0,1,0.0,0.0,0.378,22,0
9667,0.082,2,0.088,3,0.867,0,3,3,0,1,0.0,0.0,0.357,0,0
9668,0.192,2,0.251,2,0.4,1,10,1,0,0,0.0,0.0,0.398,0,0
9669,0.315,2,0.133,1,0.533,1,6,1,0,0,0.0,0.0,0.5,0,0
9670,0.027,2,0.19,1,0.533,0,0,3,0,1,0.0,0.0,0.194,0,0
9671,0.055,2,0.132,5,0.6,0,6,3,0,0,0.0,0.0,0.092,0,0
9672,0.274,0,0.121,0,0.8,0,0,0,0,1,0.086,0.0,0.398,0,1
9673,0.438,1,0.233,10,0.933,1,3,1,0,0,1.0,0.0,0.347,0,1
9674,0.644,4,0.128,1,0.533,1,0,2,0,1,0.0,0.0,0.347,0,0
9675,0.274,4,0.089,9,0.667,0,0,0,0,1,0.0,0.0,0.429,0,0
9676,0.726,1,0.096,0,0.8,1,10,1,0,0,0.0,0.546,0.112,0,1
9677,0.068,2,0.099,12,0.333,0,6,3,2,0,0.0,0.0,0.296,0,0
9678,0.164,5,0.12,1,0.533,1,5,1,2,0,0.0,0.0,0.398,9,0
9679,0.274,2,0.135,1,0.533,1,10,1,0,0,0.0,0.0,0.398,0,0
9680,0.164,2,0.069,0,0.8,0,9,0,0,0,0.0,0.0,0.398,0,0
9681,0.288,2,0.162,2,0.4,2,8,0,0,0,0.0,0.0,0.653,0,0
9682,0.137,2,0.135,1,0.533,0,10,0,0,0,0.0,0.0,0.5,0,0
9683,0.562,0,0.125,0,0.8,1,0,1,0,0,0.0,0.0,0.347,0,1
9684,0.589,4,0.068,5,0.6,1,0,2,0,1,0.0,0.0,0.347,0,0
9685,0.041,2,0.013,5,0.6,0,5,0,0,0,0.0,0.0,0.245,0,0
9686,0.466,2,0.058,5,0.6,1,5,1,0,0,0.0,0.0,0.398,0,1
9687,0.274,2,0.129,4,0.267,1,6,1,0,0,0.0,0.0,0.653,0,0
9688,0.068,0,0.118,14,0.467,0,1,0,0,0,0.0,0.0,0.5,0,1
9689,0.534,1,0.076,12,0.333,1,6,1,0,0,0.0,0.0,0.602,0,0
9690,0.123,2,0.159,0,0.8,1,5,2,0,1,0.052,0.0,0.418,0,1
9691,0.027,2,0.057,5,0.6,4,5,4,0,1,0.0,0.0,0.245,0,0
9692,0.274,2,0.216,9,0.667,1,3,2,0,1,0.0,0.0,0.296,0,0
9693,0.137,2,0.127,5,0.6,0,9,0,0,1,0.0,0.0,0.398,0,0
9694,0.137,2,0.097,1,0.533,0,5,3,3,0,0.0,0.0,0.194,0,0
9695,0.479,1,0.04,5,0.6,1,5,1,0,0,0.0,0.0,0.5,0,0
9696,0.384,2,0.237,1,0.533,4,8,4,1,1,0.0,0.0,0.398,0,0
9697,0.151,2,0.008,5,0.6,0,10,3,3,0,0.0,0.0,0.398,0,0
9698,0.041,2,0.218,1,0.533,2,0,0,0,1,0.0,0.0,0.398,0,0
9699,0.151,2,0.065,3,0.867,0,3,0,0,1,0.0,0.0,0.5,0,0
9700,0.37,2,0.378,9,0.667,1,2,1,1,0,0.0,0.0,0.398,0,0
9701,0.178,2,0.133,0,0.8,1,10,1,0,0,0.0,0.0,0.398,0,0
9702,0.123,0,0.176,6,0.733,0,0,3,1,1,0.0,0.0,0.071,0,0
9704,0.397,2,0.047,1,0.533,0,5,0,0,1,0.0,0.0,0.398,0,0
9705,0.466,2,0.062,0,0.8,1,10,1,0,0,0.0,0.0,0.5,0,0
9706,0.11,4,0.03,0,0.8,0,3,0,0,1,0.0,0.0,0.398,0,0
9707,0.356,4,0.174,1,0.533,4,4,0,0,0,0.0,0.0,0.398,0,0
9709,0.26,2,0.113,1,0.533,2,10,0,0,0,0.0,0.0,0.398,0,0
9710,0.26,2,0.115,5,0.6,0,1,0,0,0,0.0,0.0,0.398,0,0
9711,0.425,2,0.061,0,0.8,0,4,4,2,1,0.0,0.0,0.398,36,0
9713,0.096,2,0.235,0,0.8,1,3,1,0,0,0.0,0.0,0.439,0,1
9714,0.178,2,0.096,1,0.533,2,4,4,0,1,0.0,0.0,0.357,0,0
9715,0.096,2,0.388,0,0.8,1,1,2,0,1,0.077,0.0,0.449,0,1
9716,0.616,2,0.109,0,0.8,1,8,1,0,0,0.0,0.0,0.398,0,0
9717,0.329,1,0.136,1,0.533,2,6,0,0,0,0.0,0.365,0.398,0,0
9718,0.438,1,0.102,10,0.933,1,3,1,0,0,0.0,0.0,0.857,0,1
9719,0.26,1,0.095,1,0.533,1,6,1,0,0,0.0,0.0,0.5,0,0
9720,0.411,4,0.159,3,0.867,2,3,4,0,1,0.055,0.0,0.449,0,0
9721,0.438,0,0.096,3,0.867,2,3,0,0,1,0.0,0.0,0.398,0,0
9722,0.479,2,0.215,5,0.6,0,1,0,0,0,0.0,0.0,0.398,0,0
9723,0.479,2,0.101,6,0.733,1,9,1,0,0,0.0,0.0,0.398,0,1
9724,0.123,2,0.111,1,0.533,0,0,0,0,0,0.0,0.0,0.531,0,0
9725,0.466,0,0.145,1,0.533,0,6,0,0,0,0.0,0.0,0.398,0,0
9726,0.014,2,0.073,12,0.333,0,4,3,0,0,0.0,0.0,0.194,0,0
9727,0.178,2,0.246,1,0.533,0,2,5,0,0,0.0,0.0,0.398,0,0
9728,0.397,2,0.13,1,0.533,2,8,0,0,0,0.0,0.0,0.194,0,0
